OBJECTID,DPA_AGENCY,DPA_GROUP,RESPOND_ID,NWCG_UNITID,AGREEMENTS,COST_APPOR,COMMENTS,Shape__Area,Shape__Length
1,,,,,,,,43421.8830180168,10001.692412064
2,,,,,,,,2271.10719299316,793.422115429851
3,BIA,FEDERAL,,AZCRA,,AZCRA,,283911.737365723,17179.0627521611
4,BIA,FEDERAL,,,,BIA,29 Palms IR - BIA working on MOU,657732.69631958,3247.51957648362
5,BIA,FEDERAL,,AZCRA,,AZCRA,,83109.8505249023,11117.0341482469
6,BIA,FEDERAL,,AZCRA,,AZCRA, ,339008250.67131,335285.841687708
7,BIA,FEDERAL,,AZFYA,,AZFYA, ,199209229.630829,75765.5164552654
8,BIA,FEDERAL,CDD,CACDD,,AZFYA, ,2799196.6071167,9050.80821161437
9,BIA,FEDERAL,HIA,CAHIA,,HIA, ,366450969.458336,76748.7811991396
10,BIA,FEDERAL,SCA,CASCA,,SCA,Santa Ynez Reservation,553508.140914917,5617.634972248
11,BIA,FEDERAL,TIA,CATIA,,TIA,,161891.574438095,1639.511821529
12,BIA,FEDERAL,TIA,CATIA,,TIA, ,219044009.664883,62348.0913813237
13,BLM,FEDERAL,,NVCCD,,NVCCD,,51883310.1221253,136968.03726952
14,BLM,FEDERAL,,NVCCD,,NVCCD, ,147770.671988845,3897.82368296621
15,BLM,FEDERAL,CDD,CACDD,,BLM,Highland,1211727.78237152,4920.82277318989
16,BLM,FEDERAL,CDD,CACDD,,CDD,,281937809.664369,2058097.82143708
17,BLM,FEDERAL,CDD,CACDD,,CDD,,184321.187728882,39105.558546013
18,BLM,FEDERAL,CDD,CACDD,,CDD,Proposed Change between BDU and BLM,46830339.9021225,56986.5717042282
19,BLM,FEDERAL,CDD,CACDD,,CDD,Proposed Change between RRU and BLM,53632219.2672043,88572.5216072278
20,BLM,FEDERAL,CDD,CACDD,,CDD,Remains BLM protection,3563426.13334656,34840.1253515742
21,BLM,FEDERAL,CDD,CACDD,,CDD,,860781.090595245,12803.4028882796
22,BLM,FEDERAL,CDD,CACDD,,CDD, ,44228339832.5915,23113488.7769964
23,BLM,FEDERAL,CDD,CACDD,,CDD,"NJC_20140501_0943; Cleaned slivers.",609859.622180939,4018.17299649281
24,BLM,FEDERAL,CDD,CACDD,,CDD,"NJC_20140501_1102; This polygon needs to be checked. It is likely wrong.",2831.72243881226,372.627136711488
25,BLM,FEDERAL,CDD,CACDD,,CDD,NPS uncertain/CPAD BLM,8247.34248352051,10436.8353730904
26,BLM,FEDERAL,CND,CACND,,CND,,3120490538.75246,1208072.8573363
27,BLM,FEDERAL,CND,CACND,,CND, ,1382341484.403,2682900.15159757
28,BLM,FEDERAL,CND,CACND,,CND,DPA ID: BDU_002  DPA overlap! Should it be USF or BLM?,5140145.92894898,15495.929596809
29,BLM,FEDERAL,CND,CACND,,CND,"NJC_20140428_0820; Cleaned slivers.",3439314.72042084,26390.0453706602
30,BLM,FEDERAL,CND,CACND,,CND,"NJC_20140501_0938; This poly need to be looked at more closely. There is something not right with the data.",10083.0273551941,7741.65445969056
31,BLM,FEDERAL,CND,CACND,,CND,"NJC_20140506_0835; DPA2014_3 -> DPA2013_4. See Change number 16 in tarcking XLSX.",1317267145.25442,263970.520986498
32,BLM,FEDERAL,NOD,CANOD,,NOD,,34394458.8220282,25598.8921093347
33,BLM,FEDERAL,NOD,CANOD,,NOD,,2989.09524345398,326.409080318695
34,BLM,FEDERAL,NOD,CANOD,,NOD, ,5888382977.25515,1134642.37567202
35,BLM,FEDERAL,NOD,CANOD,,NOD,DPA ID:  LMU_001  CDF to BLM,1873283.46210718,6239.83549308588
36,BLM,FEDERAL,NOD,CANOD,,NOD,DPA ID:  LMU_002  CDF to BLM,1081968.32078314,7637.26136062665
37,BLM,FEDERAL,NOD,CANOD,,NOD,DPA ID:  LMU_006  CDF to BLM,190933.313556671,6435.85735851383
38,BLM,FEDERAL,NOD,CANOD,,NOD,Part of BLM Northern California Region,8133547450.77077,723600.919186093
39,BLM,FEDERAL,NVCCD,NVCCD, ,NVCCD, ,206355581.288124,91892.8901218951
40,BOR,FEDERAL,,CABRL,,BOR, ,78794205.7440348,89260.7287160241
41,CDF,STATE,AEU,CAAEU,,CDF,Error fix. Previously null.,137101.311663151,17047.6808865665
42,CDF,STATE,AEU,CAAEU,,CDF, ,3652319489.64984,861482.860586241
43,CDF,STATE,AEU,CAAEU,,CDF,"NJC_20140218_1118; Cut background poly to match update. Changed attributes to update. Cleaned up slivers around the update.",1275627.30657434,15987.8879271062
44,CDF,STATE,BDU,CABDF,,CDF,,46442662.9496536,107393.157211211
45,CDF,STATE,BDU,CABDU,,CDF,2020 SRA Review: LRA to SRA,58228734.2580185,98522.8565621059
46,CDF,STATE,BDU,CABDU,,CDF,Error fix.,272547.382972717,4865.24577961201
47,CDF,STATE,BDU,CABDU,,CDF,Error fix. ,50162.2353906631,2826.69477276764
48,CDF,STATE,BDU,CABDU,,CDF,,1961632619.42364,666121.480132627
49,CDF,STATE,BDU,CABDU,,CDF, ,1773108583.78809,781601.403108717
50,CDF,STATE,BDU,CABDU,,CDF,created 2005 SRA rev,764401.488594055,7291.28878383144
51,CDF,STATE,BDU,CABDU,,CDF,created in 2005 SRA rev,6207026.041008,15857.9990724222
52,CDF,STATE,BDU,CABDU,,CDF,Rule violation: SRA protected by LOCAL,153122.523109436,3369.33726935276
53,CDF,STATE,BEU,CABEU,,CDF,Error fix. Alignment to incorporated city boundary,72601.1718235016,2575.32885972491
54,CDF,STATE,BEU,CABEU,,CDF,Submitted from unit,191545.727767944,1741.34989307695
55,CDF,STATE,BEU,CABEU,,CDF,,36511.3464632034,1069.26299169795
56,CDF,STATE,BEU,CABEU,,CDF, ,58106932.1136045,158941.840701274
57,CDF,STATE,BEU,CABEU,,CDF,"4/7/05 Verified BLM land, CDFDPA",4791311.44663048,11546.6765789894
58,CDF,STATE,BEU,CABEU,,CDF,DPA ID: BEU_001  DOD to CDF,1988632.66962051,6484.66842152689
59,CDF,STATE,BEU,CABEU,,CDF,DPA ID: BEU_003  DOD to CDF,26657173.2157478,110789.458624641
60,CDF,STATE,BEU,CABEU,,CDF,"NJC_20140220_1542; Cut background poly to match update. Changed attributes to match update. Cleaned slivers around update.",108365.230201721,2376.38845725806
61,CDF,STATE,BEU,CABEU,,CDF,"NJC_20140220_1558; Cut background poly to match update. Changed attributes to match update.",1566358.44274521,9533.23591861806
62,CDF,STATE,BEU,CABEU,,CDF,"NJC_20140220_1611; Cut background poly to match update. Changed attributes to match update. Cleaned slivers around update.",1985875.17904472,8033.84665047469
63,CDF,STATE,BEU,CABEU,,CDF,"NJC_20140220_1622; Changed attributes to match update. Cleaned slivers around update.",1105212.82191086,6644.70673471571
64,CDF,STATE,BEU,CABEU,,CDF,"NJC_20140221_0832; Cleaned slivers around update. Cut background to match update. Changed attributes to update.",59576.018404007,1304.25277369036
65,CDF,STATE,BEU,CABEU,,CDF,NPS correction of CDF change,8402381832.31203,1273719.73377466
66,CDF,STATE,BTU,CABTU,,CDF,Error fix. Alignment to incorporated city boundary,246154.520845413,3885.72604919415
67,CDF,STATE,BTU,CABTU,,CDF, ,2637891594.93207,552496.693832732
68,CDF,STATE,CZU,CACZU,,CDF,2020 SRA Review: LRA to SRA,1214122.44237709,8973.4958433751
69,CDF,STATE,CZU,CACZU,,CDF, ,1663318538.68997,552657.343131759
70,CDF,STATE,FKU,CAFKU,,CDF,Error fix. ,12730.1597044468,538.562445890085
71,CDF,STATE,FKU,CAFKU,,CDF, ,4545690120.40392,909033.099913192
72,CDF,STATE,HUU,CAHUU,,CDF,,60079.5306091309,4622.43667531866
73,CDF,STATE,HUU,CAHUU,,CDF,Error fix. Alignment to incorporated city boundary,14931.8166351318,1336.19851097532
74,CDF,STATE,HUU,CAHUU,,CDF,,717871.158599854,6512.03553432861
75,CDF,STATE,HUU,CAHUU,,CDF, ,6955220.20645905,51474.9331234206
76,CDF,STATE,HUU,CAHUU,,CDF,"NJC_20140512_0815; This polygon was unintentionally changed to local. It has been reverted back to DPA13_4.",7820280324.94169,1147245.92756125
77,CDF,STATE,KRN,CAKRN,CNTRCT,KRN,,483449.111106873,6243.18389877317
78,CDF,STATE,KRN,CAKRN,CNTRCT,KRN, ,233146362.53025,973512.266369142
79,CDF,STATE,KRN,CAKRN,CNTRCT,KRN,Error fix. Parcel shift,7066.67944908142,1267.45232955985
80,CDF,STATE,KRN,CAKRN,CNTRCT,KRN,"NJC_20140424_1157; Changed RespondId/CostApporver/Agreements",0.0788345336914063,128.306881072949
81,CDF,STATE,KRN,CAKRN,CNTRCT,KRN,"NJC_20140428_0820; Cleaned slivers.",712.987499237061,5106.2427828857
82,CDF,STATE,KRN,CAKRN,CNTRCT,KRN,"NJC_20140501_093; This poly need to be looked at more closely. There is something not right with the data.",1308701.63452148,7254.38647163104
83,CDF,STATE,KRN,CAKRN,CNTRCT,KRN,"NJC_20140501_1000; There were two identical polygons here.",83492.6073684692,1279.53687527875
84,CDF,STATE,KRN,CAKRN,CNTRCT,KRN,"NJC_20140501_1102; This polygon needs to be checked. It is likely wrong.",182115.910255432,1816.50709212748
