data.results.uri	data.results.label	data.results.type.uri	data.results.type.label
http://nwcg.gov/data/positionDescription/CRWB	CRWB Incident Position Description	http://nwcg.gov/model/incidentPosition#IncidentPositionDescription	Incident Position Description
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-1500	Prior to mobilization, confirm crew meets English language/crew language requirements.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-18	Travel to and check in at assignment.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-23	Ensure individual readiness.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-22	Gather critical information pertinent to the assignment.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-38	Review Incident Action Plan (IAP) and obtain briefing, objectives, and intent from supervisor.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-168	Brief assigned personnel using IAP and/or Incident Response Pocket Guide (IRPG), PMS 461, briefing checklist.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-41	Establish and communicate chain of command, reporting procedures, risk management processes, and radio frequency management.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-33	Participate in operational briefings as directed.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-300	Ensure that IAP or relevant plan lists correct crew status. Report any corrections up chain of command.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-43	Establish a common operating picture with supervisors and subordinates.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-1501	Assemble and validate readiness of crew, equipment, and vehicles.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-1411	Base actions on evolving situational awareness and communicate changes to appropriate personnel.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-19	Model leadership values and principles. Provide positive influence. Emphasize teamwork.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-1412	Monitor personnel daily performance and provide feedback.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
